MES_EXIBICAO,ANO_EXIBICAO,NOME_CINEMA,TITULO_ORIGINAL,PUBLICO,GENEROS,ANO_LANCAMENTO,CLASSIFICACAO,rotten_tomatoes,yt_views,yt_likes,yt_sentiment
1,2014,KINOPLEX BOULEVARD,47 RONIN,195,"Drama, Ação, Fantasia",2013,14,16.0,19838656.0,60937.0,3.4
1,2014,KINOPLEX BOULEVARD,ATÉ QUE A SORTE NOS SEPARE 2,4239,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX BOULEVARD,CONFISSÕES DE ADOLESCENTE - O FILME,1101,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX BOULEVARD,DEVIL'S DUE,738,Terror,2014,Sem Classificacao,21.0,7073646.0,31338.0,1.8
1,2014,KINOPLEX BOULEVARD,ENDER'S GAME,420,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX BOULEVARD,FROZEN,8391,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX BOULEVARD,"I, FRANKENSTEIN",1030,"Terror, Thriller",2014,12,5.0,4036459.0,13712.0,3.3
1,2014,KINOPLEX BOULEVARD,MUITA CALMA NESSA HORA 2,2183,Comédia,2014,Sem Classificacao,0.0,47999.0,95.0,3.0
1,2014,KINOPLEX BOULEVARD,PARANORMAL ACTIVITY: THE MARKED ONES,1373,"Terror, Thriller",2014,14,40.0,2207360.0,8908.0,2.8
1,2014,KINOPLEX BOULEVARD,TARZAN,2514,"Animação, Família, Aventura",1999,L,90.0,39820619.0,150253.0,3.8
1,2014,KINOPLEX BOULEVARD,THE BOOK THIEF,282,Drama,2013,10,50.0,6548523.0,33598.0,3.4
1,2014,KINOPLEX BOULEVARD,THE HOBBIT: THE DESOLATION OF SMAUG,1045,"Fantasia, Aventura, Ação",2013,12,74.0,8489079.0,36740.0,3.0
1,2014,KINOPLEX BOULEVARD,THE SECRET LIFE OF WALTER MITTY,639,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,6996510.0,40993.0,3.3
1,2014,KINOPLEX BOULEVARD,THE WOLF OF WALL STREET,2743,"Crime, Drama, Comédia",2013,18,79.0,34194302.0,200262.0,3.3
1,2014,KINOPLEX BOULEVARD,WALKING WITH DINOSAURS,1905,"Animação, Família, Aventura",2013,L,0.0,1314025.0,43984.0,2.3
1,2014,KINOPLEX DOM PEDRO,47 RONIN,375,"Drama, Ação, Fantasia",2013,14,16.0,19838656.0,60937.0,3.4
1,2014,KINOPLEX DOM PEDRO,AMERICAN HUSTLE,176,"Drama, Crime",2013,14,92.0,2089434.0,5724.0,3.0
1,2014,KINOPLEX DOM PEDRO,ATÉ QUE A SORTE NOS SEPARE 2,14724,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX DOM PEDRO,AUGUST: OSAGE COUNTY,436,"Comédia, Drama",2013,14,67.0,3380372.0,6814.0,3.6
1,2014,KINOPLEX DOM PEDRO,CAPTAIN PHILLIPS,42,"Ação, Drama, Thriller",2013,14,93.0,4681751.0,23528.0,3.0
1,2014,KINOPLEX DOM PEDRO,CONFISSÕES DE ADOLESCENTE - O FILME,3955,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX DOM PEDRO,DELIVERY MAN,962,Comédia,2013,12,40.0,4464414.0,15506.0,3.6
1,2014,KINOPLEX DOM PEDRO,DEVIL'S DUE,1208,Terror,2014,Sem Classificacao,21.0,7073646.0,31338.0,1.8
1,2014,KINOPLEX DOM PEDRO,ENDER'S GAME,990,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX DOM PEDRO,FROZEN,21542,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX DOM PEDRO,GRAVITY,360,"Ficção científica, Thriller, Drama",2013,12,96.0,22147165.0,74918.0,3.6
1,2014,KINOPLEX DOM PEDRO,GRUDGE MATCH,1207,Comédia,2013,12,31.0,5021293.0,18206.0,3.4
1,2014,KINOPLEX DOM PEDRO,"I, FRANKENSTEIN",3213,"Terror, Thriller",2014,12,5.0,4036459.0,13712.0,3.3
1,2014,KINOPLEX DOM PEDRO,MUITA CALMA NESSA HORA 2,4758,Comédia,2014,Sem Classificacao,0.0,47999.0,95.0,3.0
1,2014,KINOPLEX DOM PEDRO,PARANORMAL ACTIVITY: THE MARKED ONES,8138,"Terror, Thriller",2014,14,40.0,2207360.0,8908.0,2.8
1,2014,KINOPLEX DOM PEDRO,TARZAN,4459,"Animação, Família, Aventura",1999,L,90.0,39820619.0,150253.0,3.8
1,2014,KINOPLEX DOM PEDRO,THE BOOK THIEF,391,Drama,2013,10,50.0,6548523.0,33598.0,3.4
1,2014,KINOPLEX DOM PEDRO,THE HOBBIT: THE DESOLATION OF SMAUG,7544,"Fantasia, Aventura, Ação",2013,12,74.0,8489079.0,36740.0,3.0
1,2014,KINOPLEX DOM PEDRO,THE SECRET LIFE OF WALTER MITTY,4601,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,6996510.0,40993.0,3.3
1,2014,KINOPLEX DOM PEDRO,THE WOLF OF WALL STREET,4910,"Crime, Drama, Comédia",2013,18,79.0,34194302.0,200262.0,3.3
1,2014,KINOPLEX DOM PEDRO,WALKING WITH DINOSAURS,4701,"Animação, Família, Aventura",2013,L,0.0,1314025.0,43984.0,2.3
1,2014,KINOPLEX FASHION MALL,AMERICAN HUSTLE,132,"Drama, Crime",2013,14,92.0,2089434.0,5724.0,3.0
1,2014,KINOPLEX FASHION MALL,ATÉ QUE A SORTE NOS SEPARE 2,1174,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX FASHION MALL,AUGUST: OSAGE COUNTY,3846,"Comédia, Drama",2013,14,67.0,3380372.0,6814.0,3.6
1,2014,KINOPLEX FASHION MALL,CAPTAIN PHILLIPS,2621,"Ação, Drama, Thriller",2013,14,93.0,4681751.0,23528.0,3.0
1,2014,KINOPLEX FASHION MALL,CONFISSÕES DE ADOLESCENTE - O FILME,350,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX FASHION MALL,FROZEN,2345,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX FASHION MALL,LAST VEGAS,74,Comédia,2013,12,45.0,2692413.0,5968.0,3.0
1,2014,KINOPLEX FASHION MALL,MUITA CALMA NESSA HORA 2,751,Comédia,2014,Sem Classificacao,0.0,47999.0,95.0,3.0
1,2014,KINOPLEX FASHION MALL,PHILOMENA,66,Drama,2013,10,91.0,514961.0,2753.0,3.7
1,2014,KINOPLEX FASHION MALL,TARZAN,1057,"Animação, Família, Aventura",1999,L,90.0,39820619.0,150253.0,3.8
1,2014,KINOPLEX FASHION MALL,THE BOOK THIEF,487,Drama,2013,10,50.0,6548523.0,33598.0,3.4
1,2014,KINOPLEX FASHION MALL,THE SECRET LIFE OF WALTER MITTY,282,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,6996510.0,40993.0,3.3
1,2014,KINOPLEX FASHION MALL,THE WOLF OF WALL STREET,3947,"Crime, Drama, Comédia",2013,18,79.0,34194302.0,200262.0,3.3
1,2014,KINOPLEX GRANDE RIO,47 RONIN,238,"Drama, Ação, Fantasia",2013,14,16.0,19838658.0,60937.0,3.4
1,2014,KINOPLEX GRANDE RIO,ATÉ QUE A SORTE NOS SEPARE 2,30468,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX GRANDE RIO,CONFISSÕES DE ADOLESCENTE - O FILME,3550,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX GRANDE RIO,DEVIL'S DUE,1618,Terror,2014,Sem Classificacao,21.0,7073646.0,31338.0,1.8
1,2014,KINOPLEX GRANDE RIO,ENDER'S GAME,142,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX GRANDE RIO,FROZEN,14563,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX GRANDE RIO,"I, FRANKENSTEIN",2425,"Terror, Thriller",2014,12,5.0,4036459.0,13712.0,3.3
1,2014,KINOPLEX GRANDE RIO,MUITA CALMA NESSA HORA 2,11475,Comédia,2014,Sem Classificacao,0.0,47999.0,95.0,3.0
1,2014,KINOPLEX GRANDE RIO,PARANORMAL ACTIVITY: THE MARKED ONES,7627,"Terror, Thriller",2014,14,40.0,2207360.0,8908.0,2.8
1,2014,KINOPLEX GRANDE RIO,TARZAN,7013,"Animação, Família, Aventura",1999,L,90.0,39820619.0,150253.0,3.8
1,2014,KINOPLEX GRANDE RIO,THE HOBBIT: THE DESOLATION OF SMAUG,1512,"Fantasia, Aventura, Ação",2013,12,74.0,8489079.0,36740.0,3.0
1,2014,KINOPLEX GRANDE RIO,THE SECRET LIFE OF WALTER MITTY,584,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,6996510.0,40993.0,3.3
1,2014,KINOPLEX GRANDE RIO,WALKING WITH DINOSAURS,1960,"Animação, Família, Aventura",2013,L,0.0,1314025.0,43984.0,2.3
1,2014,KINOPLEX ITAIM,12 YEARS A SLAVE,0,"Drama, História",2013,14,95.0,9441740.0,43896.0,3.3
1,2014,KINOPLEX ITAIM,AMERICAN HUSTLE,340,"Drama, Crime",2013,14,92.0,2089434.0,5724.0,3.0
1,2014,KINOPLEX ITAIM,ATÉ QUE A SORTE NOS SEPARE 2,1038,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX ITAIM,AUGUST: OSAGE COUNTY,7391,"Comédia, Drama",2013,14,67.0,3380372.0,6814.0,3.6
1,2014,KINOPLEX ITAIM,CAPTAIN PHILLIPS,5630,"Ação, Drama, Thriller",2013,14,93.0,4681751.0,23528.0,3.0
1,2014,KINOPLEX ITAIM,CONFISSÕES DE ADOLESCENTE - O FILME,839,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX ITAIM,ENDER'S GAME,31,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX ITAIM,FROZEN,2156,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX ITAIM,GRAVITY,485,"Ficção científica, Thriller, Drama",2013,12,96.0,22147165.0,74918.0,3.6
1,2014,KINOPLEX ITAIM,LAST VEGAS,3651,Comédia,2013,12,45.0,2692413.0,5968.0,3.0
1,2014,KINOPLEX ITAIM,MUITA CALMA NESSA HORA 2,810,Comédia,2014,Sem Classificacao,0.0,47999.0,95.0,3.0
1,2014,KINOPLEX ITAIM,NYMPHOMANIAC: VOL. I,4021,Drama,2013,18,0.0,12509728.0,18559.0,2.9
1,2014,KINOPLEX ITAIM,PHILOMENA,203,Drama,2013,10,91.0,514958.0,2753.0,3.7
1,2014,KINOPLEX ITAIM,TARZAN,555,"Animação, Família, Aventura",1999,L,90.0,39820619.0,150253.0,3.8
1,2014,KINOPLEX ITAIM,THE BOOK THIEF,458,Drama,2013,10,50.0,6548523.0,33598.0,3.4
1,2014,KINOPLEX ITAIM,THE HOBBIT: THE DESOLATION OF SMAUG,59,"Fantasia, Aventura, Ação",2013,12,74.0,8489079.0,36740.0,3.0
1,2014,KINOPLEX ITAIM,THE SECRET LIFE OF WALTER MITTY,3285,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,6996510.0,40993.0,3.3
1,2014,KINOPLEX ITAIM,THE WOLF OF WALL STREET,9670,"Crime, Drama, Comédia",2013,18,79.0,34194302.0,200262.0,3.3
1,2014,KINOPLEX LEBLON,47 RONIN,143,"Drama, Ação, Fantasia",2013,14,16.0,19838658.0,60937.0,3.4
1,2014,KINOPLEX LEBLON,AMERICAN HUSTLE,160,"Drama, Crime",2013,14,92.0,2089434.0,5724.0,3.0
1,2014,KINOPLEX LEBLON,ATÉ QUE A SORTE NOS SEPARE 2,6736,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX LEBLON,AUGUST: OSAGE COUNTY,1322,"Comédia, Drama",2013,14,67.0,3380372.0,6814.0,3.6
1,2014,KINOPLEX LEBLON,CAPTAIN PHILLIPS,3015,"Ação, Drama, Thriller",2013,14,93.0,4681781.0,23529.0,3.0
1,2014,KINOPLEX LEBLON,CONFISSÕES DE ADOLESCENTE - O FILME,3246,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX LEBLON,DELIVERY MAN,513,Comédia,2013,12,40.0,4464414.0,15506.0,3.6
1,2014,KINOPLEX LEBLON,DEVIL'S DUE,699,Terror,2014,Sem Classificacao,21.0,7073646.0,31338.0,1.8
1,2014,KINOPLEX LEBLON,ENDER'S GAME,151,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX LEBLON,FROZEN,13317,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX LEBLON,GRAVITY,1897,"Ficção científica, Thriller, Drama",2013,12,96.0,22147165.0,74918.0,3.6
1,2014,KINOPLEX LEBLON,"I, FRANKENSTEIN",983,"Terror, Thriller",2014,12,5.0,4036459.0,13712.0,3.3
1,2014,KINOPLEX LEBLON,LAST VEGAS,1229,Comédia,2013,12,45.0,2692413.0,5968.0,3.0
1,2014,KINOPLEX LEBLON,MUITA CALMA NESSA HORA 2,5831,Comédia,2014,Sem Classificacao,0.0,47999.0,95.0,3.0
1,2014,KINOPLEX LEBLON,PARANORMAL ACTIVITY: THE MARKED ONES,1448,"Terror, Thriller",2014,14,40.0,2207360.0,8908.0,2.8
1,2014,KINOPLEX LEBLON,PHILOMENA,110,Drama,2013,10,91.0,514958.0,2753.0,3.7
1,2014,KINOPLEX LEBLON,TARZAN,2207,"Animação, Família, Aventura",1999,L,90.0,39820619.0,150253.0,3.8
1,2014,KINOPLEX LEBLON,THE HOBBIT: THE DESOLATION OF SMAUG,905,"Fantasia, Aventura, Ação",2013,12,74.0,8489079.0,36740.0,3.0
1,2014,KINOPLEX LEBLON,THE WOLF OF WALL STREET,66,"Crime, Drama, Comédia",2013,18,79.0,34194302.0,200262.0,3.3
1,2014,KINOPLEX LEBLON,WALKING WITH DINOSAURS,1848,"Animação, Família, Aventura",2013,L,0.0,1314025.0,43984.0,2.3
1,2014,KINOPLEX MACEIÓ,47 RONIN,182,"Drama, Ação, Fantasia",2013,14,16.0,19838658.0,60937.0,3.4
1,2014,KINOPLEX MACEIÓ,ATÉ QUE A SORTE NOS SEPARE 2,17958,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX MACEIÓ,AUGUST: OSAGE COUNTY,968,"Comédia, Drama",2013,14,67.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,CONFISSÕES DE ADOLESCENTE - O FILME,7975,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX MACEIÓ,DELIVERY MAN,1196,Comédia,2013,12,40.0,4464414.0,15506.0,3.6
1,2014,KINOPLEX MACEIÓ,ENDER'S GAME,432,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX MACEIÓ,FROZEN,15248,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,"I, FRANKENSTEIN",2612,"Terror, Thriller",2014,12,5.0,4036459.0,13712.0,3.3
1,2014,KINOPLEX MACEIÓ,MUITA CALMA NESSA HORA 2,3471,Comédia,2014,Sem Classificacao,0.0,48006.0,95.0,0.0
1,2014,KINOPLEX MACEIÓ,PARANORMAL ACTIVITY: THE MARKED ONES,5560,"Terror, Thriller",2014,14,40.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,TARZAN,7808,"Animação, Família, Aventura",1999,L,90.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,THE BOOK THIEF,252,Drama,2013,10,50.0,0.0,0.0,0.0
