TITULO_ORIGINAL;GENEROS;ANO_LANCAMENTO;CLASSIFICACAO
47 RONIN;Drama, Ação, Fantasia;2013;14
ATÉ QUE A SORTE NOS SEPARE 2;Comédia;2013;12
CONFISSÕES DE ADOLESCENTE - O FILME;Comédia, Família;2014;12
DEVIL'S DUE;Terror;2014;Sem Classificacao
ENDER'S GAME;Ficção científica, Ação, Aventura;2013;10
FROZEN;Animação, Família, Aventura, Fantasia;2013;L
I, FRANKENSTEIN;Terror, Thriller;2014;12
MUITA CALMA NESSA HORA 2;Comédia;2014;Sem Classificacao
PARANORMAL ACTIVITY: THE MARKED ONES;Terror, Thriller;2014;14
TARZAN;Animação, Família, Aventura;1999;L
THE BOOK THIEF;Drama;2013;10
THE HOBBIT: THE DESOLATION OF SMAUG;Fantasia, Aventura, Ação;2013;12
THE SECRET LIFE OF WALTER MITTY;Aventura, Comédia, Drama, Fantasia;2013;10
THE WOLF OF WALL STREET;Crime, Drama, Comédia;2013;18
WALKING WITH DINOSAURS;Animação, Família, Aventura;2013;L
AMERICAN HUSTLE;Drama, Crime;2013;14
AUGUST: OSAGE COUNTY;Comédia, Drama;2013;14
CAPTAIN PHILLIPS;Ação, Drama, Thriller;2013;14
DELIVERY MAN;Comédia;2013;12
GRAVITY;Ficção científica, Thriller, Drama;2013;12
GRUDGE MATCH;Comédia;2013;12
LAST VEGAS;Comédia;2013;12
PHILOMENA;Drama;2013;10
12 YEARS A SLAVE;Drama, História;2013;14
NYMPHOMANIAC: VOL. I;Drama;2013;18
BIG HERO 6;Aventura, Família, Animação, Ação, Comédia;2014;L
EXODUS: GODS AND KINGS;Aventura, Drama, Ação;2014;14
INTO THE WOODS;Fantasia, Comédia;2014;12
LOUCAS PRA CASAR;Comédia;2015;14
NIGHT AT THE MUSEUM: SECRET OF THE TOMB;Aventura, Comédia, Fantasia, Família;2014;L
OS CARAS DE PAU;Comédia;2014;Sem Classificacao
OUIJA;Terror;2014;14
TAKEN 3;Thriller, Ação;2014;16
THE PENGUINS OF MADAGASCAR;Animação;2009;Sem Classificacao
A NOITE DA VIRADA;Comédia;2014;16
BOYHOOD;Drama;2014;14
NIGHTCRAWLER;Crime, Drama, Thriller;2014;14
RELATOS SALVAJES;Drama, Thriller, Comédia;2014;14
THE IMITATION GAME;História, Drama, Thriller, Guerra;2014;12
THE THEORY OF EVERYTHING;Drama, Romance;2014;10
UNBROKEN;Drama, Guerra;2014;14
WHIPLASH;Drama, Música, Thriller;2014;12
THE HOBBIT: BATTLE OF THE FIVE ARMIES;Ação, Aventura, Fantasia;2014;12
BIRDMAN: OR (THE UNEXPECTED VIRTUE OF IGNORANCE);Drama, Comédia;2014;16
DUMB AND DUMBER TO;Comédia;2014;12
INTERSTELLAR;Aventura, Drama, Ficção científica;2014;10
THE HUNGER GAMES: MOCKINGJAY- PART 1;Ficção científica, Aventura, Thriller;2014;14
THE WOMAN IN BLACK 2 ANGEL OF DEATH;Thriller, Terror, Drama;2014;Sem Classificacao
FOXCATCHER;Drama, Thriller;2014;14
MEN, WOMEN & CHILDREN;Drama, Comédia;2014;14
