NOME_SALA;TITULO_ORIGINAL;PUBLICO
EMPRESA CINEMAS SÃO LUIZ S/A - RJ - GRANDE RIO (KINOPLEX GRANDE RIO - 01);AMAZÔNIA PLANETA VERDE;206
GSR KINOPLEXAvenida 1;CINDERELLA;1694
GSR KINOPLEXAvenida 1;INSIDE OUT;892
GSR KINOPLEXAvenida 2;THE AVENGERS: AGE OF ULTRON;5848
GSR KINOPLEXAvenida 3;CINDERELLA;272
GSR KINOPLEXAvenida 3;INSIDE OUT;1439
GSR KINOPLEXAvenida 3;THE AVENGERS: AGE OF ULTRON;5521
GSR KINOPLEXAvenida 3;TOMORROWLAND;830
GSR KINOPLEXAvenida 4;CINDERELLA;3158
GSR KINOPLEXAvenida 4;THE AVENGERS: AGE OF ULTRON;2209
GSR KINOPLEXAvenida 5;CINDERELLA;69
GSR KINOPLEXAvenida 5;THE AVENGERS: AGE OF ULTRON;1555
GSR KINOPLEXAvenida 5;TOMORROWLAND;852
GSR Kinoplex AMazonas 1;CINDERELLA;2395
GSR Kinoplex AMazonas 2;CINDERELLA;1851
GSR Kinoplex AMazonas 3;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;514
GSR Kinoplex AMazonas 4;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;306
GSR Kinoplex Amazonas 1;GUARDIANS OF THE GALAXY;1005
GSR Kinoplex Amazonas 1;MALEFICENT;201
GSR Kinoplex Amazonas 1;MUPPETS MOST WANTED;454
GSR Kinoplex Amazonas 1;PLANES FIRE AND RESCUE;402
GSR Kinoplex Amazonas 2;MALEFICENT;4401
GSR Kinoplex Amazonas 3;GUARDIANS OF THE GALAXY;3990
GSR Kinoplex Amazonas 3;MALEFICENT;6243
GSR Kinoplex Amazonas 3;PLANES FIRE AND RESCUE;123
GSR Kinoplex Amazonas 4;GUARDIANS OF THE GALAXY;3757
GSR Kinoplex Amazonas 4;MALEFICENT;9270
GSR Kinoplex Amazonas 5;MALEFICENT;2582
GSR Kinoplex Amazonas 5;PLANES FIRE AND RESCUE;922
GSR Kinoplex Amazonasazonas 1;BIG HERO 6;198
GSR Kinoplex Amazonasazonas 3;BIG HERO 6;793
GSR Kinoplex Amazonasazonas 3;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;512
GSR Kinoplex Amazonasazonas 4;A WALK AMONG THE TOMBSTONES;534
GSR Kinoplex Amazonasazonas 4;INTO THE WOODS;850
GSR Kinoplex Amazonasazonas 5;A WALK AMONG THE TOMBSTONES;2076
GSR Kinoplex Amazonasazonas 5;BIG HERO 6;4564
GSR Kinoplex Avenida 1;BIG HERO 6;125
GSR Kinoplex Avenida 1;INTO THE WOODS;1084
GSR Kinoplex Avenida 2;BIG HERO 6;1166
GSR Kinoplex Avenida 2;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;386
GSR Kinoplex Avenida 3;CINDERELLA;1578
GSR Kinoplex Avenida 4;BIG HERO 6;149
GSR Kinoplex Avenida 4;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;148
GSR Kinoplex Avenida 5;CINDERELLA;534
GSR Kinoplex Top Shopping 6;DOCTOR STRANGE;1666
IMAX KINOPLEX DOM PEDRO (SALA 07);THE DIVERGENT SERIES - INSURGENT;1953
KINOPLEX AMAZONAS 1 A 3 (01);BELLE ET LA BÊTE, LA;1117
KINOPLEX AMAZONAS 1 A 3 (01);THE EXPENDABLES 3;467
KINOPLEX AMAZONAS 1 A 3 (01);TOKAREV;963
KINOPLEX AMAZONAS 1 A 3 (02);BELLE ET LA BÊTE, LA;2170
KINOPLEX AMAZONAS 1 A 3 (02);THE EXPENDABLES 3;1951
KINOPLEX AMAZONAS 1 A 3 (04);BELLE ET LA BÊTE, LA;208
KINOPLEX AMAZONAS 1 A 3 (04);PRAIA DO FUTURO;425
KINOPLEX AMAZONAS 1 A 3 (04);THE EXPENDABLES 3;10815
KINOPLEX AMAZONAS 1 A 3 (04);TOKAREV;1667
KINOPLEX AMAZONAS 1 A 3 (05);BELLE ET LA BÊTE, LA;443
KINOPLEX AMAZONAS SALA 01;#RUNSEOKJIN_EP.TOUR THE MOVIE;92
KINOPLEX AMAZONAS SALA 01;(DES)CONTROLE;8
KINOPLEX AMAZONAS SALA 01;10 CLOVERFIELD LANE;205
KINOPLEX AMAZONAS SALA 01;10 LIVES;40
KINOPLEX AMAZONAS SALA 01;10 SEGUNDOS PARA VENCER;101
KINOPLEX AMAZONAS SALA 01;13 EXORCISMOS;509
KINOPLEX AMAZONAS SALA 01;21 BRIDGES;190
KINOPLEX AMAZONAS SALA 01;28 YEARS LATER: THE BONE TEMPLE;365
KINOPLEX AMAZONAS SALA 01;32 MALASAÑA STREET;203
KINOPLEX AMAZONAS SALA 01;A COMÉDIA DIVINA;274
KINOPLEX AMAZONAS SALA 01;A CURE FOR WELLNESS;7
KINOPLEX AMAZONAS SALA 01;A DOG´S PURPOSE;523
KINOPLEX AMAZONAS SALA 01;A DOG´S WAY HOME;423
KINOPLEX AMAZONAS SALA 01;A ESPERANÇA É A ÚLTIMA QUE MORRE;760
KINOPLEX AMAZONAS SALA 01;A HAUNTING IN VENICE;145
KINOPLEX AMAZONAS SALA 01;A MAN CALLED OTTO;23
KINOPLEX AMAZONAS SALA 01;A MAN IN THE DARK;2385
KINOPLEX AMAZONAS SALA 01;A MINECRAFT MOVIE;1028
KINOPLEX AMAZONAS SALA 01;A NOITE DA VIRADA;183
KINOPLEX AMAZONAS SALA 01;A QUIET PLACE;691
KINOPLEX AMAZONAS SALA 01;A QUIET PLACE: DAY ONE;4819
KINOPLEX AMAZONAS SALA 01;A QUIET PLACE: PART II;214
KINOPLEX AMAZONAS SALA 01;ABIGAIL;21
KINOPLEX AMAZONAS SALA 01;ABOMINABLE;279
KINOPLEX AMAZONAS SALA 01;ACAMPAMENTO INTERGALÁCTICO;25
KINOPLEX AMAZONAS SALA 01;AD ASTRA;9
KINOPLEX AMAZONAS SALA 01;ADO SPECIAL LIVE “SHINZOU” IN CINEMA;74
KINOPLEX AMAZONAS SALA 01;ADRIFT;234
KINOPLEX AMAZONAS SALA 01;AFTER;73
KINOPLEX AMAZONAS SALA 01;AFTER WE FELL;61
KINOPLEX AMAZONAS SALA 01;AINDA ESTOU AQUI;2978
KINOPLEX AMAZONAS SALA 01;ALADDIN;994
KINOPLEX AMAZONAS SALA 01;ALGUÉM COMO EU;167
KINOPLEX AMAZONAS SALA 01;ALICE THROUGH THE LOOKING GLASS;1727
KINOPLEX AMAZONAS SALA 01;ALIEN: ROMULUS;691
KINOPLEX AMAZONAS SALA 01;ALL FUN AND GAMES;20
KINOPLEX AMAZONAS SALA 01;ALLEGIANT;2780
KINOPLEX AMAZONAS SALA 01;ALVIN AND THE CHIPMUNKS: THE ROAD CHIP;6812
KINOPLEX AMAZONAS SALA 01;AMAZÔNIA PLANETA VERDE;154
KINOPLEX AMAZONAS SALA 01;AMBULANCE;76
KINOPLEX AMAZONAS SALA 01;AMELIA´S CHILDREN;154
KINOPLEX AMAZONAS SALA 01;AMOR.COM;155
KINOPLEX AMAZONAS SALA 01;AN INTERVIEW WITH GOD;285
KINOPLEX AMAZONAS SALA 01;ANGEL HAS FALLEN;780
KINOPLEX AMAZONAS SALA 01;ANNABELLE;2108
KINOPLEX AMAZONAS SALA 01;ANNABELLE COMES HOME;1334
KINOPLEX AMAZONAS SALA 01;ANNABELLE: CREATION;2282
KINOPLEX AMAZONAS SALA 01;ANORA;118
KINOPLEX AMAZONAS SALA 01;ANT-MAN AND THE WASP;426
KINOPLEX AMAZONAS SALA 01;ANT-MAN AND THE WASP: QUANTUMANIA;772
KINOPLEX AMAZONAS SALA 01;ANTLERS;8
KINOPLEX AMAZONAS SALA 01;ANYONE BUT YOU;2045
KINOPLEX AMAZONAS SALA 01;AQUAMAN;3472
KINOPLEX AMAZONAS SALA 01;AQUAMAN AND THE LOST KINGDOM;120
KINOPLEX AMAZONAS SALA 01;ARCA DE NOÉ;52
KINOPLEX AMAZONAS SALA 01;ARGONUTS;3
KINOPLEX AMAZONAS SALA 01;ARRIVAL;826
KINOPLEX AMAZONAS SALA 01;ASSASSIN'S CREED;1004
KINOPLEX AMAZONAS SALA 01;ATTACK ON TITAN THE MOVIE: THE LAST ATTACK;63
KINOPLEX AMAZONAS SALA 01;ATÉ QUE A SORTE NOS SEPARE 3;4976
KINOPLEX AMAZONAS SALA 01;AVATAR: FIRE AND ASH;2250
KINOPLEX AMAZONAS SALA 01;AVATAR: THE WAY OF WATER;6375
KINOPLEX AMAZONAS SALA 01;AVENGERS: ENDGAME;4048
KINOPLEX AMAZONAS SALA 01;AVENGERS: INFINITY WAR;5753
KINOPLEX AMAZONAS SALA 01;BABY DRIVER;773
KINOPLEX AMAZONAS SALA 01;BACK TO THE FUTURE;123
KINOPLEX AMAZONAS SALA 01;BACURAU;156
KINOPLEX AMAZONAS SALA 01;BAD BOYS: RIDE OR DIE;882
KINOPLEX AMAZONAS SALA 01;BAGMAN;2247
KINOPLEX AMAZONAS SALA 01;BALLERINA;1073
KINOPLEX AMAZONAS SALA 01;BARBIE;5641
KINOPLEX AMAZONAS SALA 01;BATMAN VS SUPERMAN;2609
KINOPLEX AMAZONAS SALA 01;BEAST;115
KINOPLEX AMAZONAS SALA 01;BEAUTY AND THE BEAST;2183
KINOPLEX AMAZONAS SALA 01;BED REST;151
KINOPLEX AMAZONAS SALA 01;BEFORE I FALL;33
KINOPLEX AMAZONAS SALA 01;BEM CASADOS;3537
KINOPLEX AMAZONAS SALA 01;BEN-HUR;1897
KINOPLEX AMAZONAS SALA 01;BETTER MAN;38
KINOPLEX AMAZONAS SALA 01;BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN);1474
KINOPLEX AMAZONAS SALA 01;BIRTH OF THE DRAGON;158
KINOPLEX AMAZONAS SALA 01;BLACK ADAM;2794
KINOPLEX AMAZONAS SALA 01;BLACK PANTHER: WAKANDA FOREVER;1205
KINOPLEX AMAZONAS SALA 01;BLACK WIDOW;409
KINOPLEX AMAZONAS SALA 01;BLAIR WITCH;1522
KINOPLEX AMAZONAS SALA 01;BLENDED;1961
KINOPLEX AMAZONAS SALA 01;BLOODSHOT;86
KINOPLEX AMAZONAS SALA 01;BLUE BEETLE;220
KINOPLEX AMAZONAS SALA 01;BOB MARLEY: ONE LOVE;30
