MES_EXIBICAO;ANO_EXIBICAO;NOME_CINEMA;TITULO_ORIGINAL;PUBLICO
1;2014;KINOPLEX BOULEVARD;47 RONIN;195
1;2014;KINOPLEX BOULEVARD;ATÉ QUE A SORTE NOS SEPARE 2;4239
1;2014;KINOPLEX BOULEVARD;CLOUDY WITH A CHANCE OF MEATBALLS 2;100
1;2014;KINOPLEX BOULEVARD;CONFISSÕES DE ADOLESCENTE - O FILME;1101
1;2014;KINOPLEX BOULEVARD;DEVIL'S DUE;738
1;2014;KINOPLEX BOULEVARD;ENDER'S GAME;420
1;2014;KINOPLEX BOULEVARD;FROZEN;8391
1;2014;KINOPLEX BOULEVARD;I, FRANKENSTEIN;1030
1;2014;KINOPLEX BOULEVARD;MUITA CALMA NESSA HORA 2;2183
1;2014;KINOPLEX BOULEVARD;PARANORMAL ACTIVITY: THE MARKED ONES;1373
1;2014;KINOPLEX BOULEVARD;TARZAN;2514
1;2014;KINOPLEX BOULEVARD;THE BOOK THIEF;282
1;2014;KINOPLEX BOULEVARD;THE HOBBIT: THE DESOLATION OF SMAUG;1045
1;2014;KINOPLEX BOULEVARD;THE SECRET LIFE OF WALTER MITTY;639
1;2014;KINOPLEX BOULEVARD;THE WOLF OF WALL STREET;2743
1;2014;KINOPLEX BOULEVARD;WALKING WITH DINOSAURS;1905
1;2014;KINOPLEX DOM PEDRO;47 RONIN;375
1;2014;KINOPLEX DOM PEDRO;ABOUT TIME;32
1;2014;KINOPLEX DOM PEDRO;AMERICAN HUSTLE;176
1;2014;KINOPLEX DOM PEDRO;ATÉ QUE A SORTE NOS SEPARE 2;14724
1;2014;KINOPLEX DOM PEDRO;AUGUST: OSAGE COUNTY;436
1;2014;KINOPLEX DOM PEDRO;CAPTAIN PHILLIPS;42
1;2014;KINOPLEX DOM PEDRO;CARRIE;82
1;2014;KINOPLEX DOM PEDRO;CONFISSÕES DE ADOLESCENTE - O FILME;3955
1;2014;KINOPLEX DOM PEDRO;CRÔ - O FILME;24
1;2014;KINOPLEX DOM PEDRO;DELIVERY MAN;962
1;2014;KINOPLEX DOM PEDRO;DEVIL'S DUE;1208
1;2014;KINOPLEX DOM PEDRO;ENDER'S GAME;990
1;2014;KINOPLEX DOM PEDRO;FROZEN;21542
1;2014;KINOPLEX DOM PEDRO;GRAVITY;360
1;2014;KINOPLEX DOM PEDRO;GRUDGE MATCH;1207
1;2014;KINOPLEX DOM PEDRO;HUNGER GAMES: THE CATCHING FIRE;2154
1;2014;KINOPLEX DOM PEDRO;I, FRANKENSTEIN;3213
1;2014;KINOPLEX DOM PEDRO;JACKASS PRESENTS: BAD GRANDPA .5;1780
1;2014;KINOPLEX DOM PEDRO;MINHOCAS;621
1;2014;KINOPLEX DOM PEDRO;MUITA CALMA NESSA HORA 2;4758
1;2014;KINOPLEX DOM PEDRO;PARANORMAL ACTIVITY: THE MARKED ONES;8138
1;2014;KINOPLEX DOM PEDRO;TARZAN;4459
1;2014;KINOPLEX DOM PEDRO;THE BOOK THIEF;391
1;2014;KINOPLEX DOM PEDRO;THE HOBBIT: THE DESOLATION OF SMAUG;7544
1;2014;KINOPLEX DOM PEDRO;THE SECRET LIFE OF WALTER MITTY;4601
1;2014;KINOPLEX DOM PEDRO;THE WOLF OF WALL STREET;4910
1;2014;KINOPLEX DOM PEDRO;THOR: THE DARK WORLD;2830
1;2014;KINOPLEX DOM PEDRO;WALKING WITH DINOSAURS;4701
1;2014;KINOPLEX FASHION MALL;ABOUT TIME;62
1;2014;KINOPLEX FASHION MALL;AMERICAN HUSTLE;132
1;2014;KINOPLEX FASHION MALL;ATÉ QUE A SORTE NOS SEPARE 2;1174
1;2014;KINOPLEX FASHION MALL;AUGUST: OSAGE COUNTY;3846
1;2014;KINOPLEX FASHION MALL;BLUE JASMINE;191
1;2014;KINOPLEX FASHION MALL;CAPTAIN PHILLIPS;2621
1;2014;KINOPLEX FASHION MALL;CONFISSÕES DE ADOLESCENTE - O FILME;350
1;2014;KINOPLEX FASHION MALL;FROZEN;2345
1;2014;KINOPLEX FASHION MALL;GLORIA;38
1;2014;KINOPLEX FASHION MALL;LA GRANDE BELLEZZA;260
1;2014;KINOPLEX FASHION MALL;LAST VEGAS;74
1;2014;KINOPLEX FASHION MALL;MUITA CALMA NESSA HORA 2;751
1;2014;KINOPLEX FASHION MALL;PHILOMENA;66
1;2014;KINOPLEX FASHION MALL;TARZAN;1057
1;2014;KINOPLEX FASHION MALL;THE BOOK THIEF;487
1;2014;KINOPLEX FASHION MALL;THE SECRET LIFE OF WALTER MITTY;282
1;2014;KINOPLEX FASHION MALL;THE WOLF OF WALL STREET;3947
1;2014;KINOPLEX GRANDE RIO;47 RONIN;238
1;2014;KINOPLEX GRANDE RIO;ATÉ QUE A SORTE NOS SEPARE 2;30468
1;2014;KINOPLEX GRANDE RIO;CARRIE;103
1;2014;KINOPLEX GRANDE RIO;CONFISSÕES DE ADOLESCENTE - O FILME;3550
1;2014;KINOPLEX GRANDE RIO;CRÔ - O FILME;846
1;2014;KINOPLEX GRANDE RIO;DEVIL'S DUE;1618
1;2014;KINOPLEX GRANDE RIO;ENDER'S GAME;142
1;2014;KINOPLEX GRANDE RIO;FROZEN;14563
1;2014;KINOPLEX GRANDE RIO;I, FRANKENSTEIN;2425
1;2014;KINOPLEX GRANDE RIO;MEU PASSADO ME CONDENA O FILME;101
1;2014;KINOPLEX GRANDE RIO;MINHOCAS;44
1;2014;KINOPLEX GRANDE RIO;MUITA CALMA NESSA HORA 2;11475
1;2014;KINOPLEX GRANDE RIO;PARANORMAL ACTIVITY: THE MARKED ONES;7627
1;2014;KINOPLEX GRANDE RIO;TARZAN;7013
1;2014;KINOPLEX GRANDE RIO;THE HOBBIT: THE DESOLATION OF SMAUG;1512
1;2014;KINOPLEX GRANDE RIO;THE SECRET LIFE OF WALTER MITTY;584
1;2014;KINOPLEX GRANDE RIO;THOR: THE DARK WORLD;128
1;2014;KINOPLEX GRANDE RIO;WALKING WITH DINOSAURS;1960
1;2014;KINOPLEX ITAIM;12 YEARS A SLAVE;0
1;2014;KINOPLEX ITAIM;AMERICAN HUSTLE;340
