DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/03/2021;32 MALASAÑA STREET;O 3º ANDAR;E2000045400000;ESPANHA;5001921;BOA VISTA 2;13;6000037;1991;6634;RECIFE;PE;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000621;12/04/2021 17:43:31
01/03/2021;32 MALASAÑA STREET;O 3º ANDAR;E2000045400000;ESPANHA;5001961;KINOPLEX NOVA AMÉRICA SALA 05;34;6000037;1991;2426;RIO DE JANEIRO;RJ;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000621;12/04/2021 17:43:31
01/03/2021;A DOG CALLED MONEY;PJ HARVEY: UM CÃO CHAMADO DINHEIRO;E2100057300000;REINO UNIDO;5003461;ESPAÇO ITAU BOTAFOGO 3;1;6000029;1944;21325;RIO DE JANEIRO;RJ;ZETA FILMES LTDA;02.469.679/0001-98;202482235000321;13/04/2021 10:52:36
01/03/2021;A DOG CALLED MONEY;PJ HARVEY: UM CÃO CHAMADO DINHEIRO;E2100057300000;REINO UNIDO;5001139;ESPAÇO ITAU FREI CANECA 7;2;6000029;1944;6636;SÃO PAULO;SP;ZETA FILMES LTDA;02.469.679/0001-98;202482235000321;13/04/2021 10:52:36
01/03/2021;A DOG CALLED MONEY;PJ HARVEY: UM CÃO CHAMADO DINHEIRO;E2100057300000;REINO UNIDO;5005313;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 4 (ANEXO);1;6000029;1944;31112;SÃO PAULO;SP;ZETA FILMES LTDA;02.469.679/0001-98;202482235000321;13/04/2021 10:52:36
01/03/2021;BERLIN ALEXANDERPLATZ;BERLIN ALEXANDERPLATZ;E2000531100000;ALEMANHA;5005994;CINE BARRA POINT SALA 01;1;6000083;14200;39233;RIO DE JANEIRO;RJ;A2 DISTRIBUIDORA DE FILMES LTDA EPP;18.338.912/0001-33;303996007000321;09/04/2021 18:24:18
01/03/2021;BERLIN ALEXANDERPLATZ;BERLIN ALEXANDERPLATZ;E2000531100000;ALEMANHA;5003459;ESPAÇO ITAU BOTAFOGO 1;2;6000029;1944;21325;RIO DE JANEIRO;RJ;A2 DISTRIBUIDORA DE FILMES LTDA EPP;18.338.912/0001-33;303996007000321;09/04/2021 18:24:18
01/03/2021;BERLIN ALEXANDERPLATZ;BERLIN ALEXANDERPLATZ;E2000531100000;ALEMANHA;5004599;SALA 2 LEON CAKOFF;4;;12439;26953;SÃO PAULO;SP;A2 DISTRIBUIDORA DE FILMES LTDA EPP;18.338.912/0001-33;303996007000321;09/04/2021 18:24:18
01/03/2021;CHRISTABEL;;B1800174900000;BRASIL;5005402;CINEFLIX GRANJA VIANNA - SALA 6;1;6000014;31741;31743;COTIA;SP;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;05.933.574/0001-36;21005105001621;21/07/2021 20:34:31
01/03/2021;CHRISTABEL;;B1800174900000;BRASIL;5003459;ESPAÇO ITAU BOTAFOGO 1;5;6000029;1944;21325;RIO DE JANEIRO;RJ;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;05.933.574/0001-36;21005105001621;21/07/2021 20:34:31
01/03/2021;CHRISTABEL;;B1800174900000;BRASIL;5000771;NEW YORK CITY CENTER - SALA 07;1;6000058;749;2620;RIO DE JANEIRO;RJ;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;05.933.574/0001-36;21005105001621;21/07/2021 20:34:31
01/03/2021;CHRISTABEL;;B1800174900000;BRASIL;5004563;SALA BOTUCATU 1;2;6000014;25182;26587;BOTUCATU;SP;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;05.933.574/0001-36;21005105001621;21/07/2021 20:34:31
01/03/2021;DENTE POR DENTE;;B2000440700000;BRASIL;5004527;CINE QUIXADA SALA 01;1;6000047;17605;17606;QUIXADÁ;CE;VITRINE FILMES LTDA;11.620.976/0001-83;30046010000621;13/04/2021 13:13:16
01/03/2021;DEPOIS A LOUCA SOU EU;;B2000078000000;BRASIL;5005377;2120 CINEMARK MOGI DAS CRUZES SALA 06;23;6000018;1843;31561;MOGI DAS CRUZES;SP;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000621;12/04/2021 17:43:31
